03848P,國泰金元大03售02
065027,玉晶光中信03購01
066887,聯發科中信02購01
068705,聯發科國票03購03
077579,玉晶光元大06購09
03464P,信邦元富02售01
04224P,美指2X元富0A售01
04592P,臺股指元大05售08
065464,健鼎中信9C購01
065733,茂林凱基9C購03
068513,聯發科統一03購08
073211,聯發科凱基04購05
074919,上銀元大04購07
061964,台積電統一01購05
066148,美利達群益01購02
071833,華通國泰05購01
1730,花仙子
03341P,帆宣國票03售03
065995,台虹永豐01購01
069546,微星元大02購01
076159,台聚元大05購01
03646P,國巨國泰04售02
066937,群創國票03購01
068889,康友統一04購01
073184,元金2X康和04購01
077780,榮成凱基07購01
077911,GIS凱基07購01
069375,聯電元大02購09
075252,旺宏元富05購01
075640,國巨統一05購04
075684,欣興兆豐06購01
076876,南亞科元大05購02
078351,祥碩凱基06購01
03991P,宏碁元富07售04
072113,力山凱基03購02
9921,巨大
03475B,臺股指元大06熊10
065937,大毅群益02購01
069143,強茂永豐02購01
070330,中興電元大02購02
072498,嘉澤凱基03購01
073324,永豐餘國票05購01
076729,榮成康和05購01
03456P,華新科凱基02售04
074262,臺股指富邦04購02
076562,中興電富邦06購01
077785,聯電凱基07購01
03329P,大立光群益02售06
066306,亞聚永豐01購01
067844,全新元富07購01
068617,康舒國票03購01
074609,立積元大06購01
075741,樺漢富邦06購01
075952,聲寶永豐05購01
03759P,金像電國泰05售01
071028,大立光永豐03購01
5546,永固-KY
04897P,台灣50麥證05售02
068767,台積電統一04購05
075355,元石油國票08購01
076213,滬深2X富邦07購01
079394,寶成元大06購03
064077,台積電中信06購03
067339,欣興凱基02購01
068306,建準國票03購01
073855,緯創元大04購01
074100,瑞祺永豐04購01
2239,英利-KY
067382,康控統一03購02
071913,華邦電元大03購02
072209,牧德元大03購04
076511,臺股指凱基05購25
078949,長榮統一07購02
03232P,國巨元大02售06
067178,京鼎康和01購01
067454,矽格國票02購02
068369,玉晶光富邦03購01
070141,和碩統一03購01
071753,FBVIX元大06購01
076565,聯發科富邦08購01
077105,聯發科統一06購04
079294,聯電元富08購06
076504,上緯控凱基05購03
00675L,富邦臺灣加權正2
063769,玉晶光國泰02購01
067250,中化國票02購01
067714,上銀凱基01購01
076128,玉晶光兆豐06購02
078738,圓剛元富06購03
05430P,玉晶光凱基06售06
058541,T50反1富邦01購01
066201,大毅統一02購01
065075,葡萄王元大01購01
066113,金像電兆豐01購01
070640,達新凱基03購01
079038,友達元大07購04
065287,華新科群益01購03
067539,緯創群益01購01
074034,玉晶光兆豐05購03
074613,世紀鋼元大05購02
075161,臺股指元大05購05
077972,聯詠元大06購03
064220,力山國票01購01
068395,GIS統一03購03
8131,福懋科
03094P,台達電凱基01售04
068017,玉晶光國票01購09
072979,鴻海元富07購14
076381,緯穎凱基05購03
063199,台積電統一01購07
066405,晶碩凱基01購01
077661,台灣50元富0C購01
078734,友訊元富06購02
065195,國巨元富06購01
071878,宏碁凱基03購03
076496,中興電凱基07購01
079205,晶技麥證06購01
2409,友達
070696,聚陽凱基03購01
072063,松翰群益03購01
075941,緯穎國票07購01
076363,元金2X凱基06購04
03071P,GIS群益01售02
075588,聯茂國票06購01
076333,南六元大05購03
078252,鴻海群益07購01
072085,華新科國票04購01
072569,瑞祺統一03購02
075219,瑞儀凱基05購01
076058,萬海統一06購05
079396,榮成國票07購01
079588,上銀元富06購03
04182P,瑞昱國票05售02
05232P,臺股指群益06售03
061135,聯發科統一9C購03
066370,帆宣中信01購01
067659,滬深2X元大03購05
070558,申豐群益02購02
070755,華碩群益03購01
072255,世紀鋼凱基03購04
2459,敦吉
069735,百和麥證02購01
071441,電子類元大03購02
071611,道瓊反元大06購02
074577,群光永豐04購01
078469,華邦電統一07購01
078917,中興電永豐06購03
1418,東華
